,META,AAPL,GOOGL,NFLX,AMZN,^GSPC,Average,Best
price,0.613,1.071,1.113,0.996,0.408,0.474,0.779,1
price + return,0.423,1.23,0.906,1.085,0.64,0.462,0.791,0
price + ma_10,0.373,1.504,1.187,1.017,0.475,0.423,0.83,1
price + ma_30,0.448,1.577,0.93,1.135,1.214,0.367,0.945,1
price + ma_60,0.544,1.893,1.051,1.203,0.971,0.375,1.006,0
price + return + ma_10,0.505,1.281,0.866,1.28,0.696,0.414,0.84,0
price + general_sum,0.726,0.891,0.783,1.238,0.394,0.566,0.766,2
price + general_mean,0.697,1.902,1.076,1.165,0.539,0.697,1.013,0
price + general_count,0.638,1.08,0.891,1.233,0.446,0.636,0.821,0
price + company_sum,0.441,0.906,1.621,2.854,1.477,0.537,1.306,0
price + company_mean,0.424,1.466,0.997,1.129,1.23,0.614,0.977,0
price + company_count,0.681,1.054,1.875,1.665,1.338,0.607,1.203,0
price + gen_com_mean,0.648,1.637,0.754,1.004,0.471,0.58,0.849,0
price + general_sum + company_sum,0.471,0.989,1.093,1.589,1.334,0.452,0.988,0
price + general_mean + company_mean,0.565,1.189,0.858,1.541,0.503,0.796,0.909,0
price + general_count + company_count,0.551,1.421,1.239,1.807,2.053,0.574,1.274,0
price + return + general_mean,0.468,1.08,0.592,1.267,0.993,0.602,0.834,1
price + return + gen_com_mean,0.448,1.288,0.674,1.187,0.771,0.448,0.803,0
