,META,AAPL,GOOGL,NFLX,AMZN,^GSPC,Average,Best
price,0.218,0.587,0.403,0.597,0.337,0.346,0.415,2
price + return,0.28,0.42,0.385,0.719,0.348,0.307,0.41,0
price + ma_10,0.254,0.643,0.475,0.597,0.366,0.334,0.445,1
price + ma_30,0.294,0.773,0.551,0.724,0.464,0.263,0.512,1
price + ma_60,0.395,0.841,0.595,0.797,0.453,0.278,0.56,0
price + return + ma_10,0.315,0.418,0.454,0.703,0.334,0.275,0.416,0
price + general_sum,0.381,0.335,0.39,0.728,0.255,0.379,0.411,0
price + general_mean,0.417,0.724,0.505,0.814,0.423,0.543,0.571,0
price + general_count,0.402,0.336,0.394,0.753,0.273,0.382,0.423,0
price + company_sum,0.585,0.325,0.816,1.316,0.487,0.392,0.653,0
price + company_mean,0.321,0.584,0.747,0.802,0.275,0.465,0.532,0
price + company_count,0.539,0.405,0.85,0.966,0.519,0.358,0.606,0
price + gen_com_mean,0.36,0.935,0.499,0.629,0.219,0.306,0.491,1
price + general_sum + company_sum,0.383,0.306,0.49,1.202,0.366,0.349,0.516,0
price + general_mean + company_mean,0.338,0.459,0.639,0.713,0.442,0.476,0.511,0
price + general_count + company_count,0.367,0.275,0.45,1.14,0.403,0.404,0.506,1
price + return + general_mean,0.286,0.316,0.349,0.774,0.323,0.326,0.396,1
price + return + gen_com_mean,0.295,0.422,0.382,0.714,0.356,0.266,0.406,0
