date,price,return,ma_10,general_negative_sum,general_neutral_sum,general_positive_sum,company_negative_sum,company_neutral_sum,company_positive_sum
2022-11-29 17:15:00,141.56,-0.3400000000000034,142.70211,1.6303823068737984,1.261229420080781,0.10838821344077587,0.9666303992271423,0.022832805290818214,0.010536760091781616
2022-11-29 17:30:00,141.543,-0.016999999999995907,142.47641000000002,0.661398857831955,1.1302648782730103,0.20833630114793777,0.0,0.0,0.0
2022-11-29 17:45:00,141.41,-0.13300000000000978,142.24241,1.1027275873348117,0.9261554889380932,0.971117040142417,0.0,0.0,0.0
2022-11-29 18:00:00,141.29,-0.12000000000000455,141.98391,2.067406415939331,0.4130298886448145,0.5195637000724673,0.0,0.0,0.0
2022-11-29 18:15:00,140.7811,-0.5088999999999828,141.66991000000002,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-29 18:30:00,140.79,0.00889999999998281,141.47791,0.01826791651546955,0.032980211079120636,0.9487518668174744,0.36678555607795715,0.5703449845314026,0.06286944448947906
2022-11-29 18:45:00,140.995,0.2050000000000125,141.40941,0.0,0.0,0.0,0.011886819265782833,0.8288423418998718,0.15927088260650635
2022-11-29 19:00:00,141.34,0.34499999999999886,141.35291,1.1843777196481824,1.620093286037445,0.19552908744663,2.7174328407272696,1.05786163918674,0.2247056677006185
2022-11-29 19:15:00,140.92,-0.4200000000000159,141.25290999999999,0.90582524985075,0.9221991114318371,0.17197561264038086,0.8692185878753662,0.05879954621195793,0.07198183238506317
2022-11-29 19:30:00,140.8308,-0.08919999999997685,141.14599,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-29 19:45:00,140.595,-0.23580000000001178,141.04949,0.14267786964774132,1.768456570804119,1.0888654440641403,0.0,0.0,0.0
2022-11-29 20:00:00,140.745,0.15000000000000568,140.96968999999999,2.177173912525177,0.7338287271559238,0.08899753727018833,0.6170770525932312,0.3442513942718506,0.03867163881659508
2022-11-29 20:15:00,140.66,-0.08500000000000796,140.89469,0.17458860576152802,0.15698643028736115,0.6684249639511108,0.0,0.0,0.0
2022-11-29 20:30:00,140.565,-0.09499999999999886,140.82219,1.769777238368988,0.12716937810182571,0.1030534291639924,0.0,0.0,0.0
2022-11-29 20:45:00,140.8261,0.261099999999999,140.82669,0.04362069349735975,1.101048469543457,0.8553308881819248,0.5645682215690613,0.1872490495443344,0.24818269908428192
2022-11-29 21:00:00,141.17,0.34389999999999077,140.86469,41.693876068107784,45.151800707913935,38.15432342374697,10.0891366135329,7.518387261778116,1.3924762718379498
2022-11-30 14:30:00,140.9411,-0.22889999999998167,140.8593,0.4769575893878937,0.0984594002366066,0.4245830476284027,0.9358440041542053,0.044754546135663986,0.01940145529806614
2022-11-30 14:45:00,142.2056,1.2644999999999982,140.94585999999998,1.419131189584732,0.06592519208788872,0.5149436183273792,0.0,0.0,0.0
2022-11-30 15:00:00,141.942,-0.2635999999999967,141.04806,2.2768034040927887,0.1395965088158846,0.5836000991985202,0.013689412735402584,0.5519549250602722,0.4343556761741638
2022-11-30 15:15:00,141.7953,-0.14670000000000982,141.14451,1.0620119692757726,2.5348562877625227,1.4031317448243499,0.8917769193649292,1.0332785248756409,0.07494453340768814
2022-11-30 15:30:00,141.8199,0.024599999999992406,141.267,0.37946176435798407,2.065226823091507,0.5553113035857677,0.7345729246735573,1.1160325407981873,0.14939455315470695
2022-11-30 15:45:00,141.19,-0.6298999999999921,141.3115,1.0134116783738136,0.9008838906884193,0.08570440299808979,0.0,0.0,0.0
2022-11-30 16:00:00,141.57,0.37999999999999545,141.4025,1.030926899984479,0.12093520909547806,1.848137864843011,0.006779306102544069,0.2612709403038025,0.7319497466087341
2022-11-30 16:15:00,141.73,0.1599999999999966,141.51899999999998,1.0308270826935768,0.737499276176095,0.231673713773489,0.0,0.0,0.0
2022-11-30 16:30:00,141.95,0.21999999999999886,141.63138999999998,1.2276978194713593,0.5208680052310228,0.2514342963695526,0.017936253920197487,0.9322825074195862,0.04978122562170029
2022-11-30 16:45:00,141.69,-0.2599999999999909,141.68339,1.0697171334177256,2.591083586215973,0.3391992747783661,0.0,0.0,0.0
2022-11-30 17:00:00,141.3802,-0.30979999999999563,141.7273,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-30 17:15:00,140.94,-0.44020000000000437,141.60074,0.9639247059822083,0.02755618467926979,0.00851911585777998,0.0,0.0,0.0
2022-11-30 17:30:00,140.83,-0.10999999999998522,141.48954,0.6995179988443851,0.8651301115751266,0.4353518784046173,0.0,0.0,0.0
2022-11-30 17:45:00,141.21,0.37999999999999545,141.43101000000001,0.8468017801642418,0.34668663144111633,0.806511539965868,0.726805716753006,1.0567026734352112,0.21649157255887985
2022-11-30 18:00:00,141.53,0.3199999999999932,141.40202000000002,0.82176355086267,0.9506178498268127,0.22761845402419567,0.0,0.0,0.0
2022-11-30 18:15:00,141.46,-0.06999999999999318,141.42902,0.360260933637619,0.23891620337963104,0.40082287788391113,0.9085374474525452,0.06429148465394974,0.02717108093202114
2022-11-30 18:30:00,143.36,1.9000000000000057,141.60802,1.0623537749052048,0.5776369422674179,1.3600093126296997,0.0,0.0,0.0
2022-11-30 18:45:00,143.31,-0.05000000000001137,141.76602,1.766126623377204,0.9540489744395018,0.27982426015660167,0.9219506978988647,0.06502535194158554,0.013023993000388145
2022-11-30 19:00:00,144.82,1.509999999999991,142.05302,1.3808361608535051,1.8486493527889252,0.7705144081264734,0.9218845963478088,0.06636418402194977,0.01175119262188673
2022-11-30 19:15:00,145.98,1.1599999999999966,142.48202,1.6801090706139803,1.4613277986645699,2.8585629537701607,0.0,0.0,0.0
2022-11-30 19:30:00,146.0,0.020000000000010232,142.94400000000002,0.9104894399642944,0.06563803553581238,0.02387250028550625,0.0,0.0,0.0
2022-11-30 19:45:00,145.985,-0.014999999999986358,143.44850000000002,0.5470714401453733,1.617695540189743,1.835232950747013,0.34856894612312317,0.614142656326294,0.037288419902324677
2022-11-30 20:00:00,146.44,0.4549999999999841,144.0095,2.131217923015356,1.7750614136457443,1.0937207341194153,0.0,0.0,0.0
2022-11-30 20:15:00,146.92,0.47999999999998977,144.58049999999997,0.8844192028045654,0.08218886703252792,0.03339196741580963,0.0,0.0,0.0
2022-11-30 21:00:00,148.03,1.1100000000000136,145.23049999999998,36.29995976295322,36.8113139141351,29.888726129196584,7.628626621328294,14.457483084872365,1.913889973424375
2022-12-01 14:30:00,148.0281,-0.00190000000000623,145.88730999999999,0.18977724201977253,1.0568788945674896,0.7533439360558987,0.8521881997585297,0.6658270508050919,0.48198484908789396
2022-12-01 14:45:00,148.8575,0.8293999999999926,146.43706,1.7441691206768155,1.5459814295172691,1.7098496593534946,0.0,0.0,0.0
2022-12-01 15:00:00,147.34,-1.517499999999984,146.84006,2.6626204922795296,1.173962790518999,1.163416643626988,0.0,0.0,0.0
2022-12-01 15:15:00,146.966,-0.3739999999999952,147.05465999999998,1.1603451715782285,1.0294705629348755,1.8101842906326056,0.0,0.0,0.0
2022-12-01 15:30:00,147.19,0.22399999999998954,147.17566000000002,1.0187306106090546,0.8798703625798225,0.1013991367071867,0.0,0.0,0.0
2022-12-01 15:45:00,147.795,0.6049999999999898,147.35516,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01 16:00:00,148.1101,0.31510000000000105,147.56767,3.0445188116282225,1.4861677195876837,1.4693134324625134,0.0,0.0,0.0
2022-12-01 16:15:00,147.9599,-0.1501999999999839,147.71966,0.9123257528990507,0.2503114342689514,1.8373628333210945,0.0,0.0,0.0
2022-12-01 16:30:00,147.8899,-0.06999999999999318,147.81665,0.026689253747463226,0.02822311595082283,0.9450876116752625,0.0,0.0,0.0
2022-12-01 16:45:00,147.5619,-0.32800000000000296,147.76984000000002,1.7262368202209473,0.17730483785271645,0.09645825996994972,0.0,0.0,0.0
2022-12-01 17:00:00,147.27,-0.29189999999999827,147.69403000000003,0.25970932096242905,0.3042796738445759,1.436011016368866,0.0,0.0,0.0
2022-12-01 17:15:00,147.5,0.22999999999998977,147.55828000000002,0.9142159540206194,0.30045785568654537,1.7853261455893517,0.903246283531189,0.0877516120672226,0.009002063423395157
2022-12-01 17:30:00,147.77,0.27000000000001023,147.60128,1.1486478373408318,0.8399365916848183,1.0114155542105436,0.01569526083767414,0.8831310272216797,0.1011737659573555
2022-12-01 17:45:00,147.9373,0.16729999999998313,147.69841000000002,0.07290945760905743,0.9883795604109764,1.9387109950184822,0.8787996768951416,0.11042816191911697,0.01077214628458023
2022-12-01 18:00:00,148.18,0.24270000000001346,147.79740999999999,0.8445698823779821,1.6541726887226105,0.5012574568390846,0.043027179315686226,1.129922702908516,0.827050156891346
2022-12-01 18:15:00,147.8,-0.37999999999999545,147.79791,0.0,0.0,0.0,0.07319843024015427,0.8940662741661072,0.032735299319028854
2022-12-01 18:30:00,148.13,0.3299999999999841,147.7999,0.9411370754241943,0.04512869566679001,0.013734241016209126,0.0,0.0,0.0
2022-12-01 18:45:00,148.135,0.0049999999999954525,147.81741,0.8638100102543831,0.9148327112197876,0.22135722637176514,0.0,0.0,0.0
2022-12-01 19:00:00,148.09,-0.044999999999987494,147.83742,0.013683496974408627,0.8371588587760925,0.14915768802165985,0.9439809918403625,0.04481355845928192,0.011205438524484634
2022-12-01 19:15:00,148.43,0.3400000000000034,147.92423000000002,1.5547675490379333,0.18737543746829033,0.25785703025758266,0.0,0.0,0.0
2022-12-01 19:30:00,148.5686,0.13859999999999673,148.05409,0.8045425452291965,1.0766356140375137,0.11882172524929047,0.6417114734649658,0.3217640519142151,0.03652447462081909
2022-12-01 19:45:00,148.79,0.2213999999999885,148.18309,1.53110933303833,0.39429433457553387,0.07459635473787785,0.33484676480293274,0.6463408470153809,0.01881237141788006
2022-12-01 20:00:00,148.86,0.0700000000000216,148.29209,0.4587067998945713,2.319960355758667,0.2213328219950199,0.13642191886901855,0.6629390716552734,0.2006390541791916
2022-12-01 20:15:00,148.32,-0.5400000000000205,148.33035999999998,0.24937044084072113,0.3384910523891449,0.41213852167129517,0.016269221901893616,0.8815155625343323,0.10221520066261292
2022-12-01 20:30:00,148.6,0.28000000000000114,148.37236000000001,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01 20:45:00,148.55,-0.04999999999998295,148.44736,1.8360414505004883,0.06698051653802395,0.09697796031832695,0.0,0.0,0.0
2022-12-01 21:00:00,148.31,-0.2400000000000091,148.46536,43.9550332641229,41.241746827960014,23.803220748901367,3.992931069806218,6.346685351803899,1.6603834619745612
2022-12-02 14:30:00,146.865,-1.4449999999999932,148.33836000000002,0.7392426878213882,0.8785917162895203,0.38216549158096313,0.0,0.0,0.0
2022-12-02 14:45:00,145.92,-0.9450000000000216,148.12136,0.7483817338943481,0.22165028750896454,0.02996797487139702,0.0,0.0,0.0
2022-12-02 15:00:00,146.024,0.10400000000001342,147.88076,1.0050116423517466,1.8198871165513992,0.17510127648711205,0.0,0.0,0.0
2022-12-02 15:15:00,146.385,0.36099999999999,147.6624,1.9292324781417847,0.04889565333724022,0.021871899254620075,0.0,0.0,0.0
2022-12-02 15:30:00,146.36,-0.024999999999977263,147.4194,1.9419608041644096,0.989181388169527,0.06885772105306387,0.0,0.0,0.0
2022-12-02 15:45:00,146.455,0.09499999999999886,147.1789,0.6118739247322083,0.3249090313911438,0.06321701407432556,0.0,0.0,0.0
2022-12-02 16:00:00,146.0029,-0.4521000000000015,146.94719,1.6687262132763863,0.847831254824996,0.4834425486624241,0.0,0.0,0.0
2022-12-02 16:15:00,146.2401,0.2372000000000014,146.71120000000002,0.9678520560264587,0.021296562626957893,0.010851436294615269,0.00965938437730074,0.8802949786186218,0.11004563421010971
2022-12-02 16:30:00,146.5262,0.28609999999997626,146.50882000000001,0.7818324565887451,0.18741990625858307,0.03074757382273674,0.05720892176032066,0.906033992767334,0.036757078021764755
2022-12-02 16:45:00,146.64,0.11379999999999768,146.34181999999998,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-02 17:00:00,146.68,0.040000000000020464,146.32332,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-02 17:15:00,146.65,-0.030000000000001137,146.39632,0.2463468313217163,0.7104018926620483,0.04325127974152565,0.0,0.0,0.0
2022-12-02 17:30:00,146.25,-0.4000000000000057,146.41892,0.1915251612663269,0.6706599593162537,0.13781489431858063,0.0,0.0,0.0
2022-12-02 17:45:00,146.315,0.06499999999999773,146.41192,0.13948838412761688,0.6011320948600769,0.259379506111145,0.0,0.0,0.0
2022-12-02 18:00:00,146.195,-0.12000000000000455,146.39542,0.027743160724639893,0.35291022062301636,0.6193466186523438,0.0,0.0,0.0
2022-12-02 18:15:00,146.31,0.1150000000000091,146.38092,1.5208232551813126,1.988861609250307,1.4903150964528322,0.0,0.0,0.0
2022-12-02 18:30:00,146.3,-0.009999999999990905,146.41063,0.19136773608624935,1.6612688899040222,0.14736336469650269,0.020116902887821198,0.9359737634658813,0.04390928894281387
2022-12-02 18:45:00,146.56,0.2599999999999909,146.44261999999998,0.0,0.0,0.0,0.0,0.0,0.0
