date,price,score
2022-11-03 19:44:43,83.815,0.6529461145401001
2022-11-03 20:00:04,83.43,0.0
2022-11-04 13:42:29,84.7186,-16.293279498815536
2022-11-04 13:57:20,84.33,-0.9212811589241028
2022-11-04 14:14:12,85.349,2.691603124141693
2022-11-04 14:27:42,85.86,0.940046489238739
2022-11-04 14:42:30,86.16,-1.1724923253059387
2022-11-04 14:57:12,85.4844,0.0
2022-11-04 15:12:35,84.77,-1.6301434636116028
2022-11-04 15:27:43,84.9,0.771793782711029
2022-11-04 15:42:28,84.57,-4.940166234970093
2022-11-04 15:57:37,84.555,-0.9270114302635193
2022-11-04 16:12:14,84.7284,1.1343944668769836
2022-11-04 16:27:32,85.39,-2.641788363456726
2022-11-04 16:42:30,85.07,0.5190156102180481
2022-11-04 16:57:21,85.075,0.0
2022-11-04 17:12:31,85.27,-0.9595939517021179
2022-11-04 17:27:24,85.34,-1.9933362007141113
2022-11-04 17:42:33,85.05,-4.399882197380066
2022-11-04 17:57:49,85.385,-0.04285186529159546
2022-11-04 18:12:31,85.13,-1.3913941979408264
2022-11-04 18:27:30,85.5787,-0.8404138684272766
2022-11-04 18:42:17,85.83,-1.4980846643447876
2022-11-04 18:57:17,86.19,-0.9619688391685486
2022-11-04 19:12:28,86.505,-0.03904867172241211
2022-11-04 19:27:36,86.38,0.0
2022-11-04 19:42:19,86.175,-0.9340049028396606
2022-11-04 19:57:31,86.435,0.2065168023109436
2022-11-04 20:00:04,86.58,0.0
2022-11-04 20:00:03,86.58,0.0
2022-11-07 14:39:45,87.01,-72.8962599337101
2022-11-07 14:54:24,87.1815,-0.6359723806381226
2022-11-07 15:09:22,87.54,0.45560455322265625
2022-11-07 15:24:21,87.68,-0.03529733419418335
2022-11-07 15:39:55,87.585,-2.8301891684532166
2022-11-07 15:54:26,87.96,-1.4995771050453186
2022-11-07 16:09:35,87.96,0.0
2022-11-07 16:24:21,87.91,1.8540704250335693
2022-11-07 16:39:39,87.73,-0.8060557842254639
2022-11-07 16:54:33,87.585,-0.5901277661323547
2022-11-07 17:09:28,87.24,-0.9901930093765259
2022-11-07 17:24:31,87.28,-1.4525516033172607
2022-11-07 17:39:13,87.39,-1.3797984719276428
2022-11-07 17:54:12,87.36,-0.8567436337471008
2022-11-07 18:09:33,87.8,-2.2381532192230225
