date,price,ma_15,general_score_ma15,company_score_ma15
2022-11-01 14:45:00,152.99,153.56860666666668,-0.2351152073732719,-0.09545454545454546
2022-11-01 15:00:00,150.74,153.36732666666666,-0.2351152073732719,-0.09545454545454546
2022-11-01 15:15:00,150.745,153.15099333333333,-0.17585594811401262,-0.1621212121212121
2022-11-01 15:30:00,149.72,152.889,-0.19807817033623484,-0.14545454545454545
2022-11-01 15:45:00,149.985,152.64033333333336,-0.19807817033623484,-0.14545454545454545
2022-11-01 16:00:00,150.035,152.40733333333336,-0.21553848779655232,-0.14545454545454545
2022-11-01 16:30:00,149.18,152.09834,-0.24887182112988568,-0.14545454545454545
2022-11-01 16:45:00,150.05,151.83567333333335,-0.24887182112988568,-0.14545454545454545
2022-11-01 17:00:00,150.095,151.60867333333331,-0.29553848779655234,-0.14545454545454545
2022-11-01 17:15:00,150.085,151.40767333333332,-0.26776071001877455,-0.0787878787878788
2022-11-01 17:30:00,149.915,151.18100666666666,-0.3210940433521079,-0.0787878787878788
2022-11-01 17:45:00,150.06,150.95667333333333,-0.3655384877965523,-0.0787878787878788
2022-11-01 18:00:00,150.2142,150.76028666666667,-0.29887182112988564,-0.0787878787878788
2022-11-01 18:15:00,150.005,150.53795333333332,-0.32851851851851854,-0.06666666666666667
2022-11-01 18:30:00,149.875,150.24627999999998,-0.29740740740740745,-0.06666666666666667
2022-11-01 18:45:00,150.055,150.05061333333333,-0.36407407407407416,-0.06666666666666667
2022-11-01 19:00:00,150.365,150.02561333333333,-0.4307407407407408,-0.06666666666666667
2022-11-01 19:15:00,150.48,150.00794666666667,-0.49,0.0
2022-11-01 19:30:00,150.385,150.05228,-0.5077777777777778,0.0
2022-11-01 19:45:00,151.03,150.12194666666667,-0.5744444444444444,0.0
2022-11-01 20:00:00,150.82,150.17428,-0.5707407407407407,0.0
2022-11-01 20:15:00,150.58,150.26761333333334,-0.5485185185185185,0.0
2022-11-01 20:30:00,150.72,150.31228,-0.5751851851851852,0.0
2022-11-01 20:45:00,150.77,150.35728000000003,-0.5751851851851852,0.0
2022-11-01 21:00:00,150.65,150.39494666666667,-0.5698179535467671,-0.0303030303030303
2022-11-02 14:30:00,149.83,150.38928,-0.5669608106896242,-0.0303030303030303
2022-11-02 15:00:00,148.7914,150.30470666666668,-0.5136274773562909,-0.09696969696969697
2022-11-02 15:15:00,148.94,150.21975999999998,-0.5136274773562909,-0.09696969696969697
2022-11-02 15:30:00,149.28,150.1714266666667,-0.4580719218007354,-0.09696969696969697
2022-11-02 15:45:00,149.3101,150.1337666666667,-0.5025163662451798,-0.16363636363636364
2022-11-02 16:00:00,148.9191,150.05803999999998,-0.4291830329118465,-0.16363636363636364
2022-11-02 16:15:00,148.806,149.95410666666666,-0.38473858846740205,-0.23030303030303031
2022-11-02 16:30:00,149.0,149.85544,-0.3402941440229576,-0.296969696969697
2022-11-02 16:45:00,148.845,149.75277333333332,-0.2336274773562909,-0.296969696969697
2022-11-02 17:00:00,148.5199,149.58543333333333,-0.2002941440229576,-0.296969696969697
2022-11-02 17:15:00,148.56,149.43476666666666,-0.18177562550443907,-0.296969696969697
2022-11-02 17:30:00,148.55,149.29943333333333,-0.23733118105999462,-0.296969696969697
2022-11-02 17:45:00,149.18,149.19676666666663,-0.22733118105999464,-0.296969696969697
2022-11-02 18:00:00,148.895,149.07176666666663,-0.20288673661555018,-0.296969696969697
2022-11-02 18:15:00,148.77,148.94643333333335,-0.19158730158730158,-0.26666666666666666
2022-11-02 18:30:00,149.4901,148.92377333333334,-0.16777777777777778,-0.26666666666666666
2022-11-02 18:45:00,148.9701,148.9356866666667,-0.14703703703703705,-0.2
2022-11-02 19:00:00,151.26,149.09035333333335,-0.08037037037037038,-0.2
2022-11-02 19:15:00,151.63,149.24702,-0.16925925925925925,-0.2
2022-11-02 19:30:00,150.4475,149.32284666666663,-0.16925925925925925,-0.13333333333333333
2022-11-02 19:45:00,147.86,149.25224,-0.19814814814814816,-0.13333333333333333
2022-11-02 20:00:00,147.83,149.18717333333333,-0.24259259259259258,-0.06666666666666667
2022-11-02 20:15:00,145.89,148.97984000000002,-0.28703703703703703,-0.06666666666666667
2022-11-02 20:30:00,146.26,148.80750666666665,-0.3537037037037037,-0.06666666666666667
2022-11-02 20:45:00,145.35,148.59618,-0.267037037037037,-0.06666666666666667
2022-11-02 21:00:00,145.03,148.36084666666667,-0.2486462324393359,-0.07407407407407408
2022-11-03 14:30:00,141.53,147.89284666666666,-0.11531289910600258,-0.07407407407407408
2022-11-03 14:45:00,139.7285,147.2627466666667,-0.10697956577266923,-0.07407407407407408
2022-11-03 15:15:00,140.68,146.71508,-0.09142401021711369,-0.07407407407407408
2022-11-03 15:30:00,140.47,146.16174666666666,-0.11999543878854224,-0.05185185185185185
2022-11-03 16:15:00,140.09,145.53507333333334,-0.13332877212187558,-0.05185185185185185
2022-11-03 16:30:00,139.825,144.9254,-0.140736179529283,-0.05185185185185185
2022-11-03 16:45:00,140.04,144.1774,-0.2169266557197592,-0.05185185185185185
2022-11-03 17:00:00,139.57,143.37339999999998,-0.18359332238642584,-0.05185185185185185
2022-11-03 17:15:00,140.24,142.6929,-0.11692665571975919,-0.05185185185185185
2022-11-03 17:30:00,140.53,142.20423333333335,-0.09470443349753696,-0.05185185185185185
2022-11-03 18:00:00,140.65,141.72556666666665,-0.028037766830870295,-0.05185185185185185
2022-11-03 18:15:00,140.455,141.36323333333334,0.038628899835796364,0.014814814814814814
2022-11-03 18:30:00,140.08,140.95123333333333,0.038628899835796364,-0.05185185185185185
