date,price,ma_30,general_score_ma30,company_score_ma30
2022-11-21 15:45:00,96.68,97.19445666666667,-0.29251473792131233,-0.02254901960784313
2022-11-21 16:00:00,96.88,97.15234333333335,-0.2814036268102012,-0.02254901960784313
2022-11-21 16:15:00,96.79,97.11867666666667,-0.28807029347686786,-0.02254901960784313
2022-11-21 16:30:00,96.59,97.08634333333333,-0.2658480712546456,-0.02254901960784313
2022-11-21 16:45:00,96.59,97.05601,-0.22140362681020118,-0.02254901960784313
2022-11-21 17:00:00,96.31,97.00934333333333,-0.21445918236575673,-0.02254901960784313
2022-11-21 17:15:00,96.08,96.97031,-0.2411258490324234,-0.02254901960784313
2022-11-21 17:30:00,96.04,96.92231,-0.2411258490324234,-0.055882352941176466
2022-11-21 17:45:00,95.98,96.87564333333333,-0.23001473792131227,-0.055882352941176466
2022-11-21 18:00:00,96.045,96.85781,-0.21334807125464564,-0.055882352941176466
2022-11-21 18:15:00,96.115,96.83703333333334,-0.20501473792131228,-0.055882352941176466
2022-11-21 18:30:00,96.33,96.83103333333334,-0.20501473792131228,-0.039215686274509796
2022-11-21 18:45:00,96.1301,96.80803666666667,-0.18014701305358743,-0.039215686274509796
2022-11-21 19:00:00,96.0486,96.78615666666666,-0.1801470130535874,-0.039215686274509796
2022-11-21 19:15:00,95.7,96.74982333333332,-0.1801470130535874,-0.039215686274509796
2022-11-21 19:30:00,95.6465,96.71604,-0.1690359019424763,-0.039215686274509796
2022-11-21 19:45:00,95.6585,96.68049,-0.17736923527580964,-0.039215686274509796
2022-11-21 20:00:00,95.78,96.64515666666667,-0.16236923527580963,-0.039215686274509796
2022-11-21 20:15:00,95.68,96.60949000000001,-0.17348034638692075,-0.039215686274509796
2022-11-21 20:30:00,95.38,96.55315666666665,-0.16514701305358742,-0.039215686274509796
2022-11-21 20:45:00,95.715,96.49949,-0.1568136797202541,-0.039215686274509796
2022-11-21 21:00:00,95.6,96.44649,-0.1760028689094433,-0.039215686274509796
2022-11-22 14:30:00,95.35,96.37548999999999,-0.18489175779833217,-0.039215686274509796
2022-11-22 14:45:00,94.355,96.27965666666665,-0.20155842446499886,-0.039215686274509796
2022-11-22 15:00:00,94.8,96.19199,-0.19913627913627913,-0.033333333333333326
2022-11-22 15:15:00,95.195,96.09912333333334,-0.18061776061776058,-0.033333333333333326
2022-11-22 15:30:00,95.11,96.00245666666666,-0.16395109395109392,-0.033333333333333326
2022-11-22 15:45:00,95.6499,95.93912,-0.15283998283998282,-0.033333333333333326
2022-11-22 16:00:00,95.5184,95.8904,-0.15283998283998282,-0.033333333333333326
2022-11-22 16:15:00,95.575,95.84406666666668,-0.13450664950664948,-0.033333333333333326
2022-11-22 16:30:00,95.255,95.79656666666666,-0.1428399828399828,-0.033333333333333326
2022-11-22 16:45:00,95.28,95.74323333333332,-0.12617331617331615,-0.033333333333333326
2022-11-22 17:00:00,95.6313,95.70460999999999,-0.13450664950664948,-0.049999999999999996
2022-11-22 17:15:00,95.81,95.67861,-0.16783998283998283,-0.049999999999999996
2022-11-22 17:30:00,95.99,95.65861,-0.19006220506220506,-0.049999999999999996
2022-11-22 17:45:00,96.1099,95.65194,-0.18212569712569712,-0.049999999999999996
2022-11-22 18:00:00,96.55,95.66760666666667,-0.15990347490347487,-0.049999999999999996
2022-11-22 18:15:00,96.61,95.68660666666668,-0.11545903045903044,-0.01666666666666666
2022-11-22 18:30:00,96.78,95.71327333333333,-0.08212569712569712,-0.01666666666666666
2022-11-22 18:45:00,97.055,95.74694,-0.10990347490347488,-0.01666666666666666
2022-11-22 19:00:00,96.9001,95.77311,-0.06268125268125266,-0.01666666666666666
2022-11-22 19:15:00,96.8014,95.78882333333333,-0.029347919347919336,-0.01666666666666666
2022-11-22 19:30:00,96.94,95.81582,-0.02458601458601457,-0.01666666666666666
2022-11-22 19:45:00,96.975,95.8467,-0.04403045903045902,-0.01666666666666666
2022-11-22 20:00:00,97.055,95.89186666666667,-0.05236379236379236,-0.01666666666666666
2022-11-22 20:15:00,97.1,95.94031666666666,-0.06903045903045903,-0.01666666666666666
2022-11-22 20:30:00,97.14,95.9897,-0.05903045903045902,-0.01666666666666666
2022-11-22 20:45:00,97.06,96.03236666666666,-0.05458601458601457,-0.049999999999999996
2022-11-22 21:00:00,97.05,96.07803333333332,-0.04756092498027981,-0.06249999999999999
2022-11-23 14:30:00,97.6782,96.15464,-0.055894258313613145,-0.06249999999999999
2022-11-23 14:45:00,97.99,96.23047333333334,-0.07256092498027981,-0.06249999999999999
2022-11-23 15:00:00,97.9,96.30713999999999,-0.10337173579109062,-0.06249999999999999
2022-11-23 15:15:00,98.02,96.39614000000002,-0.10337173579109062,-0.09583333333333334
2022-11-23 15:30:00,98.125,96.52180666666666,-0.10003840245775728,-0.12916666666666668
2022-11-23 16:00:00,98.22,96.63580666666667,-0.09448284690220173,-0.12916666666666668
2022-11-23 16:15:00,98.1,96.73263999999999,-0.1111495135688684,-0.12916666666666668
2022-11-23 16:30:00,97.885,96.82514,-0.12781618023553507,-0.12916666666666668
2022-11-23 16:45:00,97.7,96.89347666666666,-0.13892729134664616,-0.1625
2022-11-23 17:00:00,97.77,96.96853,-0.14170506912442393,-0.1625
2022-11-23 17:15:00,97.82,97.04336333333335,-0.16670506912442393,-0.1625
2022-11-23 17:30:00,97.83,97.12919666666667,-0.17170506912442393,-0.1625
2022-11-23 17:45:00,97.4613,97.20190666666667,-0.1828161802355351,-0.1625
2022-11-23 18:00:00,97.4193,97.26150666666668,-0.1633717357910906,-0.17916666666666667
2022-11-23 18:15:00,97.5081,97.31810999999999,-0.18003840245775732,-0.17916666666666667
2022-11-23 18:30:00,97.735,97.37627666666667,-0.16892729134664616,-0.2125
2022-11-23 18:45:00,97.745,97.43078,-0.15464157706093187,-0.2125
2022-11-23 19:00:00,98.0899,97.48210999999999,-0.16019713261648744,-0.2125
2022-11-23 19:15:00,98.21,97.53544333333333,-0.17130824372759854,-0.2125
2022-11-23 19:30:00,98.04,97.57744333333333,-0.18797491039426523,-0.2125
2022-11-23 19:45:00,98.5381,97.62688000000001,-0.17686379928315407,-0.24583333333333332
