date,price,return,gen_com_negative_mean,gen_com_neutral_mean,gen_com_positive_mean
2022-10-31 14:30:00,153.32,-2.420000000000016,0.6726899961940944,0.2822029101662338,0.04510709340684116
2022-10-31 14:45:00,153.04,-0.28000000000000114,0.4357621967792511,0.05426970589905977,0.00996810244396329
2022-10-31 15:00:00,152.635,-0.40500000000000114,0.10109566571190953,0.6784428283572197,0.2204615529626608
2022-10-31 15:15:00,152.45,-0.18500000000000227,0.013642407953739166,0.37597188353538513,0.1103857234120369
2022-10-31 15:30:00,152.795,0.34499999999999886,0.37834668159484863,0.10985816270112991,0.011795124970376492
2022-10-31 15:45:00,152.74,-0.0549999999999784,0.0,0.0,0.0
2022-10-31 16:00:00,153.2,0.45999999999997954,0.0,0.0,0.0
2022-10-31 16:15:00,153.31,0.11000000000001364,0.1247367113828659,0.3593183755874634,0.015944896265864372
2022-10-31 16:30:00,153.635,0.32499999999998863,0.4676932990550995,0.02268356829881668,0.009623164311051369
2022-10-31 16:45:00,153.175,-0.45999999999997954,0.26827259734272957,0.04892904311418533,0.18279836047440767
2022-10-31 17:00:00,153.6001,0.42509999999998627,0.16525338978196183,0.1485195184747378,0.1862271026087304
2022-10-31 17:15:00,153.935,0.33490000000000464,0.6660383587004617,0.2113995859399438,0.12256207992322743
2022-10-31 17:30:00,153.19,-0.7450000000000045,0.897943526506424,0.08989651128649712,0.012159993406385183
2022-10-31 17:45:00,153.58,0.3900000000000148,0.20549653734390935,0.22958068052927652,0.0649227686226368
2022-10-31 18:00:00,153.7592,0.17919999999998026,0.06015889346599579,0.035403501242399216,0.4044376015663147
2022-10-31 18:15:00,153.99,0.23080000000001633,0.4558561444282532,0.03773188218474388,0.006411983631551266
2022-10-31 18:30:00,153.6499,-0.34010000000000673,0.4957526137586683,0.2411931175738573,0.2630542367696762
2022-10-31 18:45:00,153.715,0.06510000000000105,0.13420351976528763,0.7016709059476852,0.1641255697235465
2022-10-31 19:00:00,153.53,-0.18500000000000227,0.2279228175369402,0.23789385023216406,0.034183333783100046
2022-10-31 19:15:00,153.8149,0.28489999999999327,0.13200323532025018,0.2029766229291757,0.16502014050881067
2022-10-31 19:30:00,153.99,0.1751000000000147,0.26766572892665863,0.122976740822196,0.10935752838850021
2022-10-31 19:45:00,153.5,-0.4900000000000091,0.1327488273382187,0.33097711205482483,0.03627404943108559
2022-10-31 20:00:00,153.1,-0.4000000000000057,0.8967737555503845,0.05680934526026249,0.04641688894480467
2022-10-31 20:15:00,153.315,0.2150000000000034,0.11960949015337974,0.0911283791065216,0.2892621241044253
2022-10-31 20:30:00,153.425,0.11000000000001364,0.4028884470462799,0.041572995483875275,0.055538560496643186
2022-10-31 20:45:00,153.16,-0.2650000000000148,0.4039396643638611,0.01884538121521473,0.07721494138240814
2022-10-31 21:00:00,153.34,0.18000000000000682,0.34050152963922864,0.42348369617068854,0.23601476243561786
2022-11-01 14:30:00,154.2501,0.9100999999999999,0.3333666641265154,0.5770444124937057,0.0895889257080853
2022-11-01 14:45:00,152.99,-1.2600999999999942,0.22515227366238832,0.25880205631256104,0.01604564255103469
2022-11-01 15:00:00,150.74,-2.25,0.011388295330107212,0.42604467272758484,0.06256702542304993
2022-11-01 15:15:00,150.745,0.0049999999999954525,0.7527290689758956,0.15996837290003896,0.08730254555121064
2022-11-01 15:30:00,149.72,-1.0250000000000057,0.12228665500879288,0.36146751046180725,0.016245868057012558
2022-11-01 15:45:00,149.985,0.2650000000000148,0.11768409609794617,0.1840197890996933,0.19829611480236053
2022-11-01 16:00:00,150.035,0.04999999999998295,0.40098629395167035,0.0718194047609965,0.027194274899860222
2022-11-01 16:30:00,149.18,-0.8549999999999898,0.3641943434874217,0.12435440222422282,0.011451265619446835
2022-11-01 16:45:00,150.05,0.8700000000000045,0.0,0.0,0.0
2022-11-01 17:00:00,150.095,0.044999999999987494,0.09452629811130464,0.2634793631732464,0.14199434919282794
2022-11-01 17:15:00,150.085,-0.009999999999990905,0.05244312062859535,0.4027549624443054,0.044801920652389526
2022-11-01 17:30:00,149.915,-0.17000000000001592,0.2158367559313774,0.24558781335751215,0.03857544343918562
2022-11-01 17:45:00,150.06,0.14500000000001023,0.46548131108283997,0.016429711133241653,0.01808898337185383
2022-11-01 18:00:00,150.2142,0.154200000000003,0.29423539464672405,0.05924829343954722,0.14651632433136305
2022-11-01 18:15:00,150.005,-0.20920000000000982,0.3232355611398816,0.5726794358342886,0.10408500162884593
2022-11-01 18:30:00,149.875,-0.12999999999999545,0.02507792692631483,0.8614325821399689,0.11348947510123253
2022-11-01 18:45:00,150.055,0.18000000000000682,0.3782290890812874,0.4862427767366171,0.13552813697606325
2022-11-01 19:00:00,150.365,0.3100000000000023,0.42200350761413574,0.04252874664962292,0.03546775132417679
2022-11-01 19:15:00,150.48,0.11499999999998067,0.36270689964294434,0.11544092744588852,0.021852198988199234
2022-11-01 19:30:00,150.385,-0.09499999999999886,0.4508713185787201,0.03743654116988182,0.011692141182720661
2022-11-01 19:45:00,151.03,0.6450000000000102,0.3786407709121704,0.09155964106321335,0.029799608513712883
2022-11-01 20:00:00,150.82,-0.21000000000000796,0.40821243822574615,0.06270000757649541,0.029087543953210115
2022-11-01 20:15:00,150.58,-0.23999999999998067,0.16742976723859707,0.18905474866429964,0.14351548378666243
2022-11-01 20:30:00,150.72,0.13999999999998636,0.29170513649781543,0.035547394615908466,0.17274748285611471
2022-11-01 20:45:00,150.77,0.05000000000001137,0.3299327033261458,0.010919984119633833,0.15914730758716664
